address,area,categories,name,price,rating,url,price_num
"211 E 43rd St
New York, NY 10017",Midtown East,Japanese,Sakagura,$$$,4.0,https://www.yelp.com/biz/sakagura-new-york?osq=Japanese+Food,60.0
"118 Madison Ave
New York, NY 10016",Midtown East,Japanese,nonono,$$$,4.5,https://www.yelp.com/biz/nonono-new-york-6?osq=Japanese+Food,60.0
"306 E 46th St
New York, NY 10017",Midtown East,Japanese,Kaoru,$$,4.5,https://www.yelp.com/biz/kaoru-new-york?osq=Japanese+Food,20.0
"53 W 35th St
New York, NY 10001",Midtown West,"Tapas Bars, Sushi Bars, Izakaya",Izakaya MEW,$$,4.0,https://www.yelp.com/biz/izakaya-mew-new-york-3?osq=Japanese+Food,20.0
"213 E 45th St
New York, NY 10017",Midtown East,"Tapas/Small Plates, Izakaya",Aburiya Kinnosuke,$$$,4.0,https://www.yelp.com/biz/aburiya-kinnosuke-new-york?osq=Japanese+Food,60.0
"64 W 48th St
New York, NY 10036",Midtown West,"Japanese, Noodles, Soup",Tsurutontan Udon Noodle Brasserie - Midtown,$$,4.0,https://www.yelp.com/biz/tsurutontan-udon-noodle-brasserie-midtown-new-york?osq=Japanese+Food,20.0
"249 E 49th St
New York, NY 10017",Midtown East,Japanese,Yamada Chikara NY,$$$$,5.0,https://www.yelp.com/biz/yamada-chikara-ny-new-york?osq=Japanese+Food,100.0
"131 E 45th St
New York, NY 10017",Midtown East,Japanese,Tonkatsu Matsunoya,$$,4.0,https://www.yelp.com/biz/tonkatsu-matsunoya-new-york?osq=Japanese+Food,20.0
"251 W 55th St
New York, NY 10019",Midtown West,Japanese,Yakitori Totto,$$$,4.0,https://www.yelp.com/biz/yakitori-totto-new-york?osq=Japanese+Food,60.0
"31 W 52nd St
New York, NY 10019",Midtown West,"Japanese, Asian Fusion",Omakasa,$$,4.0,https://www.yelp.com/biz/omakasa-new-york-4?osq=Japanese+Food,20.0
"237 E 53rd St
New York, NY 10022",Midtown East,Japanese,Jukai,$$$,4.0,https://www.yelp.com/biz/jukai-new-york?osq=Japanese+Food,60.0
"141 W 41st St
New York, NY 10036","Theater District, Midtown West",Japanese,Ootoya Times Square,$$,4.0,https://www.yelp.com/biz/ootoya-times-square-new-york-2?osq=Japanese+Food,20.0
"211 E 43rd St
New York, NY 10017",Midtown East,Japanese,Soba Totto,$$,4.0,https://www.yelp.com/biz/soba-totto-new-york?osq=Japanese+Food,20.0
"304 E 49th St
New York, NY 10017",Midtown East,"Japanese, Bars, Breakfast & Brunch",Fukusuke,$$,4.5,https://www.yelp.com/biz/fukusuke-new-york?osq=Japanese+Food,20.0
"17 E 48th St
New York, NY 10017",Midtown East,"Japanese, Sushi Bars",Hatsuhana Sushi Restaurant,$$$,4.0,https://www.yelp.com/biz/hatsuhana-sushi-restaurant-new-york?osq=Japanese+Food,60.0
"11 E 47th St
New York, NY 10017",Midtown East,Japanese,Katsu-Hama,$$,4.0,https://www.yelp.com/biz/katsu-hama-new-york?osq=Japanese+Food,20.0
